loan_id,borrower_id,loan_type,disbursement_date,loan_amount,interest_rate,tenure_months,emi,outstanding_principal,dpd_bucket,months_active,base_risk_score,vintage,ticket_size,payment_delayed_5d,partial_payment,segment_high_default
LN00001,BR42098,Personal,2025-12-11,763000.0,20.38,12,70818.97,492770.83,60 DPD,5,0.2538,0-6M,2-10L,True,True,True
LN00002,BR98696,Home,2025-04-21,2404000.0,8.2,180,23252.3,2256421.11,Current,13,0.03,12-24M,10-50L,True,False,False
LN00003,BR14165,Personal,2025-08-06,700000.0,18.62,60,18012.34,610750.0,60 DPD,9,0.1962,6-12M,2-10L,True,False,True
LN00004,BR76237,Auto,2025-07-24,237000.0,14.79,36,8191.33,181041.67,Current,10,0.1079,6-12M,2-10L,True,True,False
LN00005,BR95181,Auto,2025-12-08,582000.0,9.27,84,9443.79,552553.57,60 DPD,5,0.12,0-6M,2-10L,True,False,False
LN00006,BR87236,Personal,2023-09-25,278000.0,17.58,60,6996.01,151973.33,30 DPD,32,0.1858,24M+,2-10L,True,True,False
LN00007,BR30926,Home,2026-01-18,3621000.0,10.25,240,35545.31,3569702.5,Current,4,0.07,0-6M,10-50L,True,False,False
LN00008,BR38221,Personal,2024-03-06,269000.0,15.45,48,7547.98,145147.92,90+ DPD,26,0.1645,24M+,2-10L,True,True,False
LN00009,BR22676,Home,2025-07-06,8067000.0,8.4,240,69497.57,7781293.75,Current,10,0.03,6-12M,50L+,False,False,False
LN00010,BR15695,Home,2024-02-27,6332000.0,7.71,240,51826.31,5726502.5,Current,27,0.03,24M+,50L+,False,False,False
LN00011,BR59615,Home,2023-01-29,2535000.0,7.79,300,19214.2,2247700.0,Current,40,0.03,24M+,10-50L,True,False,False
LN00012,BR92397,Business,2022-12-28,4845000.0,20.08,24,246779.55,726750.0,30 DPD,24,0.1908,12-24M,10-50L,True,True,False
LN00013,BR19116,Personal,2024-01-22,123000.0,19.74,60,3240.98,74210.0,Current,28,0.2574,24M+,<2L,True,True,True
LN00014,BR47930,Home,2022-05-18,2098000.0,9.73,120,27412.5,1384680.0,90+ DPD,48,0.06,24M+,10-50L,True,True,False
LN00015,BR59823,Personal,2024-10-12,732000.0,13.99,12,65720.73,109800.0,Current,12,0.1499,6-12M,2-10L,True,True,False
