loan_id,month_offset,expected,collected,delayed_days
LN00001,1,70818.97,0.0,59
LN00001,2,70818.97,0.0,63
LN00001,3,70818.97,0.0,22
LN00001,4,70818.97,61544.17,24
LN00001,5,70818.97,0.0,37
LN00002,1,23252.3,23180.9,0
LN00002,2,23252.3,23252.3,6
LN00002,3,23252.3,0.0,63
LN00002,4,23252.3,23061.6,0
LN00002,5,23252.3,23188.4,0
LN00002,6,23252.3,23096.33,0
LN00003,1,18012.34,0.0,39
LN00003,2,18012.34,0.0,21
LN00003,3,18012.34,18012.34,6
LN00003,4,18012.34,18012.34,5
LN00003,5,18012.34,17977.86,0
LN00003,6,18012.34,17853.26,0
LN00004,1,8191.33,8155.88,0
LN00004,2,8191.33,8191.33,8
LN00004,3,8191.33,8167.95,0
LN00004,4,8191.33,8188.32,0
LN00004,5,8191.33,5814.16,15
LN00004,6,8191.33,2510.01,24
LN00005,1,9443.79,0.0,56
LN00005,2,9443.79,0.0,65
LN00005,3,9443.79,9365.92,0
LN00005,4,9443.79,9417.18,0
LN00005,5,9443.79,9376.62,0
LN00006,1,6996.01,4503.59,18
LN00006,2,6996.01,3443.86,25
LN00006,3,6996.01,6988.96,0
LN00006,4,6996.01,0.0,51
LN00006,5,6996.01,6996.01,14
LN00006,6,6996.01,6984.86,0
LN00007,1,35545.31,35246.44,0
LN00007,2,35545.31,35545.31,8
LN00007,3,35545.31,35312.06,0
LN00007,4,35545.31,35200.29,0
LN00008,1,7547.98,0.0,61
LN00008,2,7547.98,2781.18,21
LN00008,3,7547.98,0.0,59
LN00008,4,7547.98,2829.95,26
LN00008,5,7547.98,4617.71,10
LN00008,6,7547.98,3436.49,15
LN00009,1,69497.57,68995.09,0
LN00009,2,69497.57,69134.17,0
LN00009,3,69497.57,69319.42,0
LN00009,4,69497.57,69467.28,0
LN00009,5,69497.57,68921.89,0
LN00009,6,69497.57,69203.23,0
LN00010,1,51826.31,51448.81,0
LN00010,2,51826.31,51500.87,0
LN00010,3,51826.31,51545.59,0
LN00010,4,51826.31,51658.69,0
LN00010,5,51826.31,51673.65,0
LN00010,6,51826.31,51735.95,0
LN00011,1,19214.2,19056.99,0
LN00011,2,19214.2,19112.94,0
LN00011,3,19214.2,19082.96,0
LN00011,4,19214.2,19133.93,0
LN00011,5,19214.2,19214.2,9
LN00011,6,19214.2,19028.14,0
LN00012,1,246779.55,83625.13,8
LN00012,2,246779.55,245710.99,0
LN00012,3,246779.55,246779.55,8
LN00012,4,246779.55,245884.22,0
LN00012,5,246779.55,246779.55,7
LN00012,6,246779.55,0.0,61
LN00013,1,3240.98,3223.6,0
LN00013,2,3240.98,0.0,47
LN00013,3,3240.98,3228.2,0
LN00013,4,3240.98,2236.31,14
LN00013,5,3240.98,3218.06,0
LN00013,6,3240.98,3240.98,2
LN00014,1,27412.5,0.0,72
LN00014,2,27412.5,24402.41,28
LN00014,3,27412.5,27278.63,0
LN00014,4,27412.5,27315.09,0
LN00014,5,27412.5,27146.38,0
LN00014,6,27412.5,27180.56,0
LN00015,1,65720.73,65543.36,0
LN00015,2,65720.73,0.0,52
LN00015,3,65720.73,65154.78,0
LN00015,4,65720.73,65568.84,0
LN00015,5,65720.73,0.0,84
LN00015,6,65720.73,30426.75,28
LN00016,1,16789.91,16647.02,0
LN00016,2,16789.91,16688.23,0
LN00016,3,16789.91,16671.11,0
LN00016,4,16789.91,16692.96,0
LN00016,5,16789.91,16722.38,0
LN00016,6,16789.91,16771.27,0
LN00017,1,31732.92,31687.71,0
LN00017,2,31732.92,31426.01,0
LN00017,3,31732.92,31604.2,0
LN00017,4,31732.92,31416.88,0
LN00017,5,31732.92,31732.92,7
LN00017,6,31732.92,31467.36,0
LN00018,1,44255.57,0.0,35
LN00018,2,44255.57,43837.12,0
LN00018,3,44255.57,20794.36,12
LN00018,4,44255.57,44139.89,0
LN00018,5,44255.57,43942.83,0
LN00018,6,44255.57,44035.42,0
LN00019,1,88311.09,87841.91,0
LN00019,2,88311.09,87843.97,0
LN00019,3,88311.09,87949.28,0
LN00019,4,88311.09,88259.94,0
LN00019,5,88311.09,87487.78,0
LN00019,6,88311.09,87645.99,0
LN00020,1,2333.1,0.0,83
LN00020,2,2333.1,0.0,28
LN00020,3,2333.1,2333.1,7
LN00020,4,2333.1,1021.39,15
LN00020,5,2333.1,1506.33,18
LN00020,6,2333.1,2333.1,1
LN00021,1,6970.51,6916.88,0
LN00021,2,6970.51,3751.83,10
LN00021,3,6970.51,0.0,59
LN00021,4,6970.51,5211.02,8
LN00021,5,6970.51,6904.6,0
LN00021,6,6970.51,6922.45,0
LN00022,1,13008.76,0.0,40
LN00022,2,13008.76,0.0,46
LN00022,3,13008.76,0.0,24
LN00022,4,13008.76,5666.29,19
LN00022,5,13008.76,13008.76,14
LN00022,6,13008.76,0.0,33
LN00023,1,21503.46,7709.02,21
LN00023,2,21503.46,0.0,57
LN00023,3,21503.46,21497.86,0
LN00023,4,21503.46,19070.77,19
LN00023,5,21503.46,0.0,56
LN00023,6,21503.46,21493.95,0
LN00024,1,108602.81,108301.6,0
LN00024,2,108602.81,108224.65,0
LN00024,3,108602.81,108602.81,2
LN00024,4,108602.81,107759.95,0
LN00024,5,108602.81,0.0,51
LN00024,6,108602.81,108602.81,9
LN00025,1,20159.01,7587.42,23
LN00025,2,20159.01,20159.01,4
LN00025,3,20159.01,0.0,68
LN00025,4,20159.01,19967.6,0
LN00025,5,20159.01,8861.46,20
LN00025,6,20159.01,20159.01,12
LN00026,1,25164.31,25020.67,0
LN00026,2,25164.31,0.0,45
LN00026,3,25164.31,0.0,22
LN00026,4,25164.31,10514.4,24
LN00026,5,25164.31,24983.06,0
LN00026,6,25164.31,25164.31,1
LN00027,1,4327.5,0.0,31
LN00027,2,4327.5,2247.44,15
LN00027,3,4327.5,0.0,27
LN00027,4,4327.5,0.0,39
LN00027,5,4327.5,0.0,67
LN00027,6,4327.5,4327.5,1
LN00028,1,37535.15,37217.13,0
LN00028,2,37535.15,37355.83,0
LN00028,3,37535.15,37322.36,0
LN00028,4,37535.15,37261.96,0
LN00028,5,37535.15,37272.36,0
LN00028,6,37535.15,37159.93,0
LN00029,1,27283.82,0.0,44
LN00029,2,27283.82,0.0,73
LN00029,3,27283.82,0.0,50
LN00029,4,27283.82,27283.82,10
LN00029,5,27283.82,0.0,83
LN00029,6,27283.82,0.0,55
LN00030,1,79252.44,78691.14,0
LN00030,2,79252.44,79203.0,0
LN00030,3,79252.44,78797.42,0
LN00030,4,79252.44,79246.45,0
LN00030,5,79252.44,78633.47,0
LN00030,6,79252.44,78595.95,0
LN00031,1,15750.62,15622.73,0
LN00031,2,15750.62,15750.62,9
LN00031,3,15750.62,0.0,63
LN00031,4,15750.62,15745.45,0
LN00031,5,15750.62,8333.34,10
LN00031,6,15750.62,10658.22,20
LN00032,1,103687.39,103510.79,0
LN00032,2,103687.39,102883.7,0
LN00032,3,103687.39,102817.91,0
LN00032,4,103687.39,103622.83,0
LN00032,5,103687.39,0.0,73
LN00032,6,103687.39,103635.51,0
LN00033,1,39381.89,39335.39,0
LN00033,2,39381.89,39316.42,0
